timestamp,badge_id,holder,reader,event
2026-03-15T06:10:00Z,B1018,Elif Patel,MAIN-ENTRANCE,IN
2026-03-15T06:11:00Z,B1039,Owen Ferreira,MAIN-ENTRANCE,IN
2026-03-15T10:36:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-15T10:36:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-15T10:37:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-15T10:37:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-15T10:38:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-15T10:39:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-15T10:41:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-15T10:42:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-15T10:42:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-15T10:42:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-15T10:43:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-15T10:45:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-15T14:06:00Z,B1023,Ivan Rivera,MAIN-ENTRANCE,IN
2026-03-15T14:09:00Z,B1018,Elif Patel,MAIN-ENTRANCE,OUT
2026-03-15T14:11:00Z,B1039,Owen Ferreira,MAIN-ENTRANCE,OUT
2026-03-15T17:56:00Z,B1023,Ivan Rivera,ROOM-A,UNLOCK
2026-03-15T17:56:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-15T18:01:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-15T18:02:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-15T22:04:00Z,B1008,Lena Okafor,MAIN-ENTRANCE,IN
2026-03-15T22:10:00Z,B1023,Ivan Rivera,MAIN-ENTRANCE,OUT
2026-03-16T02:39:00Z,B1008,Lena Okafor,ROOM-D,UNLOCK
2026-03-16T02:39:00Z,B1008,Lena Okafor,ROOM-F,UNLOCK
2026-03-16T05:57:00Z,B1039,Owen Ferreira,MAIN-ENTRANCE,IN
2026-03-16T06:07:00Z,B1002,Sofia Larsen,MAIN-ENTRANCE,IN
2026-03-16T06:11:00Z,B1018,Elif Patel,MAIN-ENTRANCE,IN
2026-03-16T06:26:00Z,B1008,Lena Okafor,MAIN-ENTRANCE,OUT
2026-03-16T07:10:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T07:10:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-16T07:10:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T07:15:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T07:15:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-16T07:16:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-16T07:59:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T07:59:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-16T07:59:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T08:03:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T08:06:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-16T08:07:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T09:42:00Z,B1039,Owen Ferreira,ROOM-E,UNLOCK
2026-03-16T09:48:00Z,B1039,Owen Ferreira,ROOM-C,UNLOCK
2026-03-16T09:50:00Z,B1002,Sofia Larsen,ROOM-A,UNLOCK
2026-03-16T09:58:00Z,B1002,Sofia Larsen,ROOM-B,UNLOCK
2026-03-16T10:00:00Z,B1039,Owen Ferreira,ROOM-A,UNLOCK
2026-03-16T10:08:00Z,B1002,Sofia Larsen,ROOM-C,UNLOCK
2026-03-16T10:20:00Z,B1002,Sofia Larsen,ROOM-E,UNLOCK
2026-03-16T11:06:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T11:07:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T11:07:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T11:07:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-16T11:08:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T11:09:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T11:10:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T11:11:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T11:11:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T11:11:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T11:12:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T11:15:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T11:59:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-16T11:59:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T12:00:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T12:01:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T12:03:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-16T12:05:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-16T12:05:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-16T12:06:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-16T12:53:00Z,B1039,Owen Ferreira,ROOM-C,UNLOCK
2026-03-16T13:49:00Z,B1039,Owen Ferreira,MAIN-ENTRANCE,OUT
2026-03-16T13:57:00Z,B1002,Sofia Larsen,MAIN-ENTRANCE,OUT
2026-03-16T14:02:00Z,B1023,Ivan Rivera,MAIN-ENTRANCE,IN
2026-03-16T14:31:00Z,B1018,Elif Patel,MAIN-ENTRANCE,OUT
2026-03-16T17:43:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-16T17:43:00Z,B1023,Ivan Rivera,ROOM-F,UNLOCK
2026-03-16T17:44:00Z,B1023,Ivan Rivera,ROOM-A,UNLOCK
2026-03-16T17:44:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-16T17:44:00Z,B1023,Ivan Rivera,ROOM-F,UNLOCK
2026-03-16T17:44:00Z,B1023,Ivan Rivera,ROOM-F,UNLOCK
2026-03-16T17:45:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-16T17:46:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-16T17:47:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-16T17:49:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-16T17:49:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-16T17:50:00Z,B1023,Ivan Rivera,ROOM-C,UNLOCK
2026-03-16T17:50:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-16T17:50:00Z,B1023,Ivan Rivera,ROOM-D,UNLOCK
2026-03-16T17:50:00Z,B1023,Ivan Rivera,ROOM-F,UNLOCK
2026-03-16T17:51:00Z,B1023,Ivan Rivera,ROOM-A,UNLOCK
2026-03-16T22:11:00Z,B1008,Lena Okafor,MAIN-ENTRANCE,IN
2026-03-16T22:11:00Z,B1023,Ivan Rivera,MAIN-ENTRANCE,OUT
2026-03-17T00:15:00Z,B1008,Lena Okafor,ROOM-E,UNLOCK
2026-03-17T00:26:00Z,B1008,Lena Okafor,ROOM-D,UNLOCK
2026-03-17T05:57:00Z,B1002,Sofia Larsen,MAIN-ENTRANCE,IN
2026-03-17T06:13:00Z,B1008,Lena Okafor,MAIN-ENTRANCE,OUT
2026-03-17T06:13:00Z,B1018,Elif Patel,MAIN-ENTRANCE,IN
2026-03-17T06:14:00Z,B1039,Owen Ferreira,MAIN-ENTRANCE,IN
2026-03-17T07:00:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-17T07:00:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-17T07:01:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-17T07:02:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-17T07:02:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-17T07:05:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-17T07:06:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-17T07:06:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-17T07:08:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-17T07:08:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-17T07:33:00Z,B1018,Elif Patel,ROOM-A,UNLOCK
2026-03-17T07:33:00Z,B1018,Elif Patel,ROOM-D,UNLOCK
2026-03-17T07:33:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-17T07:33:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
2026-03-17T07:34:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-17T07:36:00Z,B1018,Elif Patel,ROOM-B,UNLOCK
2026-03-17T07:36:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-17T07:38:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-17T07:38:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-17T07:41:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-17T07:43:00Z,B1018,Elif Patel,ROOM-C,UNLOCK
2026-03-17T07:43:00Z,B1018,Elif Patel,ROOM-E,UNLOCK
2026-03-17T07:43:00Z,B1018,Elif Patel,ROOM-F,UNLOCK
