timestamp,badge_id,holder,reader,event
2026-06-04T05:49:00Z,B1002,Priya Novak,MAIN-ENTRANCE,IN
2026-06-04T05:51:00Z,B1017,Sofia Larsen,MAIN-ENTRANCE,IN
2026-06-04T05:53:00Z,B1036,Priya Dubois,MAIN-ENTRANCE,IN
2026-06-04T06:31:00Z,B1017,Sofia Larsen,ROOM-C,UNLOCK
2026-06-04T06:31:00Z,B1017,Sofia Larsen,ROOM-C,UNLOCK
2026-06-04T06:31:00Z,B1017,Sofia Larsen,ROOM-D,UNLOCK
2026-06-04T06:32:00Z,B1017,Sofia Larsen,ROOM-B,UNLOCK
2026-06-04T06:36:00Z,B1017,Sofia Larsen,ROOM-A,UNLOCK
2026-06-04T06:36:00Z,B1017,Sofia Larsen,ROOM-F,UNLOCK
2026-06-04T06:37:00Z,B1017,Sofia Larsen,ROOM-A,UNLOCK
2026-06-04T06:37:00Z,B1017,Sofia Larsen,ROOM-F,UNLOCK
2026-06-04T06:51:00Z,B1017,Sofia Larsen,ROOM-D,UNLOCK
2026-06-04T06:51:00Z,B1017,Sofia Larsen,ROOM-E,UNLOCK
2026-06-04T06:54:00Z,B1017,Sofia Larsen,ROOM-D,UNLOCK
2026-06-04T06:55:00Z,B1017,Sofia Larsen,ROOM-F,UNLOCK
2026-06-04T07:09:00Z,B1036,Priya Dubois,ROOM-B,UNLOCK
2026-06-04T07:49:00Z,B1036,Priya Dubois,ROOM-A,UNLOCK
2026-06-04T07:54:00Z,B1002,Priya Novak,ROOM-A,UNLOCK
2026-06-04T08:02:00Z,B1036,Priya Dubois,ROOM-C,UNLOCK
2026-06-04T08:05:00Z,B1002,Priya Novak,ROOM-C,UNLOCK
2026-06-04T08:10:00Z,B1036,Priya Dubois,ROOM-D,UNLOCK
2026-06-04T08:16:00Z,B1002,Priya Novak,ROOM-D,UNLOCK
2026-06-04T08:22:00Z,B1002,Priya Novak,ROOM-E,UNLOCK
2026-06-04T09:44:00Z,B1017,Sofia Larsen,ROOM-D,UNLOCK
2026-06-04T09:44:00Z,B1017,Sofia Larsen,ROOM-E,UNLOCK
2026-06-04T09:44:00Z,B1017,Sofia Larsen,ROOM-E,UNLOCK
2026-06-04T09:44:00Z,B1017,Sofia Larsen,ROOM-E,UNLOCK
2026-06-04T09:48:00Z,B1017,Sofia Larsen,ROOM-C,UNLOCK
2026-06-04T09:49:00Z,B1017,Sofia Larsen,ROOM-D,UNLOCK
2026-06-04T09:50:00Z,B1017,Sofia Larsen,ROOM-B,UNLOCK
2026-06-04T09:51:00Z,B1017,Sofia Larsen,ROOM-F,UNLOCK
2026-06-04T11:04:00Z,B1036,Priya Dubois,ROOM-D,UNLOCK
2026-06-04T13:41:00Z,B1024,Samuel Tanaka,MAIN-ENTRANCE,IN
2026-06-04T14:01:00Z,B1002,Priya Novak,MAIN-ENTRANCE,OUT
2026-06-04T14:04:00Z,B1036,Priya Dubois,MAIN-ENTRANCE,OUT
2026-06-04T14:14:00Z,B1017,Sofia Larsen,MAIN-ENTRANCE,OUT
2026-06-04T14:33:00Z,B1036,Priya Dubois,ROOM-D,UNLOCK
2026-06-04T14:46:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T14:46:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T14:46:00Z,B1024,Samuel Tanaka,ROOM-F,UNLOCK
2026-06-04T14:48:00Z,B1024,Samuel Tanaka,ROOM-C,UNLOCK
2026-06-04T14:48:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T14:49:00Z,B1024,Samuel Tanaka,ROOM-A,UNLOCK
2026-06-04T14:49:00Z,B1024,Samuel Tanaka,ROOM-B,UNLOCK
2026-06-04T14:50:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T14:52:00Z,B1024,Samuel Tanaka,ROOM-B,UNLOCK
2026-06-04T14:52:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T14:52:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T14:53:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T14:55:00Z,B1024,Samuel Tanaka,ROOM-F,UNLOCK
2026-06-04T14:56:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T16:00:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T16:00:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T16:00:00Z,B1024,Samuel Tanaka,ROOM-F,UNLOCK
2026-06-04T16:05:00Z,B1024,Samuel Tanaka,ROOM-C,UNLOCK
2026-06-04T16:06:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T16:07:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T18:14:00Z,B1024,Samuel Tanaka,ROOM-A,UNLOCK
2026-06-04T18:14:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T18:15:00Z,B1024,Samuel Tanaka,ROOM-B,UNLOCK
2026-06-04T18:15:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T18:16:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T18:19:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T18:19:00Z,B1024,Samuel Tanaka,ROOM-E,UNLOCK
2026-06-04T18:20:00Z,B1024,Samuel Tanaka,ROOM-C,UNLOCK
2026-06-04T18:21:00Z,B1024,Samuel Tanaka,ROOM-D,UNLOCK
2026-06-04T18:21:00Z,B1024,Samuel Tanaka,ROOM-F,UNLOCK
2026-06-04T21:47:00Z,B1009,Hana Tanaka,MAIN-ENTRANCE,IN
2026-06-04T21:52:00Z,B1024,Samuel Tanaka,MAIN-ENTRANCE,OUT
